480586;31-03-2018;Offside, Watford. Daryl Janmaat tries a through ball, but Troy Deeney is caught offside.;16';Watford;AFC Bournemouth;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;1;Watford;Troy Deeney;Daryl Janmaat;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;13;0;NA;NA;16
480586;31-03-2018;Foul by Troy Deeney (Watford).;17';Watford;AFC Bournemouth;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Troy Deeney;Watford;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;14;0;NA;NA;17
480586;31-03-2018;Jordon Ibe (Bournemouth) wins a free kick in the attacking half.;17';Watford;AFC Bournemouth;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Jordon Ibe;Bournemouth;attacking half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;15;0;NA;NA;17
480586;31-03-2018;Offside, Bournemouth. Junior Stanislas tries a through ball, but Nathan AkÃ© is caught offside.;17';Watford;AFC Bournemouth;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;1;Bournemouth;Nathan AkÃ©;Junior Stanislas;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;16;0;NA;NA;17
480586;31-03-2018;Attempt blocked. Joshua King (Bournemouth) right footed shot from outside the box is blocked.;19';Watford;AFC Bournemouth;1;0;0;0;0;1;0;blocked;Joshua King;Bournemouth;right;outside the box;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;17;0;NA;NA;19
480586;31-03-2018;Corner,  Bournemouth. Conceded by Sebastian PrÃ¶dl.;19';Watford;AFC Bournemouth;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;1;Bournemouth;Sebastian PrÃ¶dl;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;18;0;NA;NA;19
480586;31-03-2018;Foul by Lewis Cook (Bournemouth).;20';Watford;AFC Bournemouth;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Lewis Cook;Bournemouth;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;19;0;NA;NA;20
480586;31-03-2018;Will Hughes (Watford) wins a free kick in the defensive half.;20';Watford;AFC Bournemouth;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Will Hughes;Watford;defensive half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;20;0;NA;NA;20
480586;31-03-2018;Attempt blocked. Etienne Capoue (Watford) right footed shot from outside the box is blocked. Assisted by Will Hughes.;22';Watford;AFC Bournemouth;1;0;0;0;0;1;0;blocked;Etienne Capoue;Watford;right;outside the box;NA;Will Hughes;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;21;0;NA;NA;22
480586;31-03-2018;Attempt missed. Will Hughes (Watford) left footed shot from the centre of the box is close, but misses to the right. Assisted by Kiko FemenÃ­a.;23';Watford;AFC Bournemouth;1;0;0;0;0;1;0;missed;Will Hughes;Watford;left;the centre of the box;close, but right;Kiko FemenÃ­a;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;22;0;NA;NA;23
480586;31-03-2018;Attempt missed. Lewis Cook (Bournemouth) right footed shot from outside the box is high and wide to the right. Assisted by Junior Stanislas.;25';Watford;AFC Bournemouth;1;0;0;0;0;1;0;missed;Lewis Cook;Bournemouth;right;outside the box;high and wide to the right;Junior Stanislas;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;23;0;NA;NA;25
480586;31-03-2018;Attempt blocked. Abdoulaye DoucourÃ© (Watford) left footed shot from outside the box is blocked.;27';Watford;AFC Bournemouth;1;0;0;0;0;1;0;blocked;Abdoulaye DoucourÃ©;Watford;left;outside the box;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;24;0;NA;NA;27
480586;31-03-2018;Corner,  Watford. Conceded by Junior Stanislas.;27';Watford;AFC Bournemouth;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;1;Watford;Junior Stanislas;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;25;0;NA;NA;27
480586;31-03-2018;Foul by Junior Stanislas (Bournemouth).;29';Watford;AFC Bournemouth;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Junior Stanislas;Bournemouth;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;26;0;NA;NA;29
480586;31-03-2018;Will Hughes (Watford) wins a free kick in the attacking half.;29';Watford;AFC Bournemouth;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Will Hughes;Watford;attacking half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;27;0;NA;NA;29
480586;31-03-2018;Attempt blocked. JosÃ© Holebas (Watford) left footed shot from outside the box is blocked.;30';Watford;AFC Bournemouth;1;0;0;0;0;1;0;blocked;JosÃ© Holebas;Watford;left;outside the box;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;28;0;NA;NA;30
480586;31-03-2018;Attempt saved. JosÃ© Holebas (Watford) left footed shot from outside the box is saved in the top centre of the goal.;30';Watford;AFC Bournemouth;1;0;0;0;0;1;0;saved;JosÃ© Holebas;Watford;left;outside the box;the top centre of the goal;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;29;0;NA;NA;30
480586;31-03-2018;Attempt blocked. Roberto Pereyra (Watford) right footed shot from the left side of the box is blocked. Assisted by JosÃ© Holebas.;34';Watford;AFC Bournemouth;1;0;0;0;0;1;0;blocked;Roberto Pereyra;Watford;right;the left side of the box;NA;JosÃ© Holebas;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;30;0;NA;NA;34
480586;31-03-2018;Attempt blocked. Will Hughes (Watford) left footed shot from outside the box is blocked.;34';Watford;AFC Bournemouth;1;0;0;0;0;1;0;blocked;Will Hughes;Watford;left;outside the box;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;31;0;NA;NA;34
480586;31-03-2018;Attempt blocked. Jordon Ibe (Bournemouth) left footed shot from the right side of the box is blocked. Assisted by Dan Gosling.;38';Watford;AFC Bournemouth;1;0;0;0;0;1;0;blocked;Jordon Ibe;Bournemouth;left;the right side of the box;NA;Dan Gosling;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;32;0;NA;NA;38
480586;31-03-2018;Corner,  Bournemouth. Conceded by Adrian Mariappa.;38';Watford;AFC Bournemouth;1;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;1;Bournemouth;Adrian Mariappa;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;33;0;NA;NA;38
480586;31-03-2018;Attempt missed. Steve Cook (Bournemouth) header from the centre of the box misses to the left. Assisted by Jordon Ibe with a cross following a corner.;39';Watford;AFC Bournemouth;1;0;0;0;0;1;0;missed;Steve Cook;Bournemouth;header;the centre of the box;left;Jordon Ibe;0;NA;NA;0;cross;1;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;34;0;NA;NA;39
480586;31-03-2018;Attempt saved. Daryl Janmaat (Watford) left footed shot from outside the box is saved in the bottom left corner. Assisted by Will Hughes.;40';Watford;AFC Bournemouth;1;0;0;0;0;1;0;saved;Daryl Janmaat;Watford;left;outside the box;the bottom left corner;Will Hughes;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;35;0;NA;NA;40
