480534;13-05-2018;First Half begins.;-;Manchester United;Watford;0;0;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;1;0;NA;NA;NA
480534;13-05-2018;Lineups are announced and players are warming up.;-;Manchester United;Watford;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;2;0;NA;NA;NA
480534;13-05-2018;Christian Kabasele (Watford) wins a free kick in the defensive half.;1';Manchester United;Watford;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Christian Kabasele;Watford;defensive half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;3;0;NA;NA;1
480534;13-05-2018;Foul by Marcus Rashford (Manchester United).;1';Manchester United;Watford;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Marcus Rashford;Manchester United;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;4;0;NA;NA;1
480534;13-05-2018;Corner,  Watford. Conceded by Eric Bailly.;6';Manchester United;Watford;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;1;Watford;Eric Bailly;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;5;0;NA;NA;6
480534;13-05-2018;Foul by Marcos Rojo (Manchester United).;9';Manchester United;Watford;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Marcos Rojo;Manchester United;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;6;0;NA;NA;9
480534;13-05-2018;Richarlison (Watford) wins a free kick in the attacking half.;9';Manchester United;Watford;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;1;Richarlison;Watford;attacking half;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;7;0;NA;NA;9
480534;13-05-2018;Marcos Rojo (Manchester United) is shown the yellow card for a bad foul.;9';Manchester United;Watford;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;1;yellow;Marcos Rojo;Manchester United;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;8;0;NA;NA;9
480534;13-05-2018;Attempt missed. Richarlison (Watford) right footed shot from outside the box is too high from a direct free kick.;10';Manchester United;Watford;0;0;0;0;0;1;0;missed;Richarlison;Watford;right;outside the box;too high;NA;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;9;0;NA;NA;10
480534;13-05-2018;Foul by Jos̩ Holebas (Watford).;10';Manchester United;Watford;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;Jos̩ Holebas;Watford;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;1;10;0;NA;NA;10
