Game ID,Team 1 Name,Team 2 Name,Date,Home Player 1,Home Player 2,Home Player 3,Home Player 4,Home Player 5,Home Player 6,Home Player 7,Home Player 8,Home Player 9,Home Player 10,Home Player 11,Away Player 1,Away Player 2,Away Player 3,Away Player 4,Away Player 5,Away Player 6,Away Player 7,Away Player 8,Away Player 9,Away Player 10,Away Player 11
g_1_OvcVnCZp,Leicester,West Brom,16/10/2017,Marc Albrighton,Christian Fuchs,Vicente Iborra,Kelechi Iheanacho,Harry Maguire,Riyad Mahrez,Wes Morgan,Wilfred Ndidi,Kasper Schmeichel,Danny Simpson,Jamie Vardy,Gareth Barry,Nacer Chadli,Craig Dawson,Jonny Evans,Kieran Gibbs,Ahmed Hegazy,Grzegorz Krychowiak,Jake Livermore,Glyn Myhill,Jay Rodriguez,Salomon Rondon
g_1_0Mi8LWuA,West Ham,Brighton,20/10/2017,Michail Antonio,Marko Arnautovic,Chicharito,Jose Fonte,Joe Hart,Cheikhou Kouyate,Manuel Lanzini,Arthur Masuaku,Pedro Obiang,Winston Reid,Pablo Zabaleta,Gaetan Bong,Shane Duffy,Lewis Dunk,Pascal Gross,Jose Izquierdo,Anthony Knockaert,Glenn Murray,Davy Propper,Mathew Ryan,Bruno Saltor,Dale Stephens
g_1_Q3aeOYei,Southampton,West Brom,21/10/2017,Ryan Bertrand,Steven Davis,Fraser Forster,Manolo Gabbiadini,Mario Lemina,Shane Long,Oriol Romeu,Cedric Soares,Dusan Tadic,Virgil van Dijk,Maya Yoshida,Gareth Barry,Nacer Chadli,Craig Dawson,Jonny Evans,Ben Foster,Kieran Gibbs,Ahmed Hegazy,Grzegorz Krychowiak,Jake Livermore,Jay Rodriguez,Salomon Rondon
g_1_EPZt5BeT,Huddersfield,Manchester United,21/10/2017,Laurent Depoitre,Jonathan Hogg,Tom Ince,Mathias Jorgensen,Elias Kachunga,Jonas Lossl,Chris Lowe,Aaron Mooy,Christopher Schindler,Tom Smith,Daniel Williams,David de Gea,Ander Herrera,Phil Jones,Jesse Lingard,Romelu Lukaku,Anthony Martial,Juan Mata,Nemanja Matic,Chris Smalling,Luis Valencia,Ashley Young
g_1_K6C90V3p,Manchester City,Burnley,21/10/2017,Sergio Aguero,Kevin De Bruyne,Fabian Delph,Ederson,Fernandinho,Nicolas Otamendi,Leroy Sane,Bernardo Silva,David Silva,John Stones,Kyle Walker,Scott Arfield,Robbie Brady,Jack Cork,Steven Defour,Jeff Hendrick,Matthew Lowton,Ben Mee,Nick Pope,James Tarkowski,Stephen Ward,Chris Wood
g_1_bcBDakJj,Newcastle,Crystal Palace,21/10/2017,Christian Atsu,Rob Elliot,Isaac Hayden,Joselu,Jamaal Lascelles,Florian Lejeune,Javier Manquillo,Ayoze Perez,Matt Ritchie,Jonjo Shelvey,Deandre Yedlin,Yohan Cabaye,Scott Dann,James Mcarthur,Luka Milivojevic,Mamadou Sakho,Jeffery Schlupp,Julian Speroni,Andros Townsend,Patrick van Aanholt,Joel Ward,Wilfried Zaha
g_1_4fbaNhBc,Stoke,Bournemouth,21/10/2017,Joe Allen,Jack Butland,Geoff Cameron,Eric Maxim Choupo-Moting,Mame Diouf,Darren Fletcher,Jese,Glen Johnson,Erik Pieters,Ryan Shawcross,Kurt Zouma,Benik Afobe,Nathan Ake,Asmir Begovic,Lewis Cook,Charlie Daniels,Simon Francis,Jordon Ibe,Lys Mousset,Adam Smith,Junior Stanislas,Andrew Surman
g_1_p4EFu4o1,Swansea,Leicester,21/10/2017,Tammy Abraham,Jordan Ayew,Leon Britton,Thomas Carroll,Lukasz Fabianski,Federico Fernandez,Alfie Mawson,Luciano Narsingh,Kyle Naughton,Martin Olsson,Renato Sanches,Marc Albrighton,Christian Fuchs,Vicente Iborra,Harry Maguire,Riyad Mahrez,Wes Morgan,Wilfred Ndidi,Shinji Okazaki,Kasper Schmeichel,Danny Simpson,Jamie Vardy
g_1_6aWY6XQG,Chelsea,Watford,21/10/2017,Marcos Alonso,Cesar Azpilicueta,Tiemoue Bakayoko,Gary Cahill,Thibaut Courtois,Cesc Fabregas,Eden Hazard,David Luiz,Alvaro Morata,Pedro,Antonio Rudiger,Miguel Britos,Tom Cleverley,Troy Deeney,Abdoulaye Doucoure,Heurelho Gomes,Jose Holebas,Christian Kabasele,Kiko,Adrian Mariappa,Roberto Pereyra,Richarlison
g_1_nJm4MCQ3,Tottenham,Liverpool,22/10/2017,Toby Alderweireld,Dele Alli,Serge Aurier,Christian Eriksen,Harry Kane,Hugo Lloris,Davinson Sanchez,son-heung-min,Kieran Trippier,Jan Vertonghen,Harry Winks,Emre Can,Coutinho,Roberto Firmino,Joe Gomez,Jordan Henderson,Dejan Lovren,Joel Matip,Simon Mignolet,James Milner,Alberto Moreno,Mohamed Salah
g_1_0MVx6itN,Everton,Arsenal,22/10/2017,Leighton Baines,Dominic Calvert-Lewin,Idrissa Gueye,Phil Jagielka,Michael Keane,Jonjoe Kenny,Jordan Pickford,Wayne Rooney,Gylfi Sigurdsson,Nikola Vlasic,Ashley Williams,Hector Bellerin,Petr Cech,Sead Kolasinac,Laurent Koscielny,Alexandre Lacazette,Per Mertesacker,Nacho Monreal,Mesut Ozil,Aaron Ramsey,Alexis Sanchez,Granit Xhaka
g_1_fqiCKjeG,Bournemouth,Chelsea,28/10/2017,Benik Afobe,Nathan Ake,Asmir Begovic,Lewis Cook,Steve Cook,Charlie Daniels,Jermain Defoe,Simon Francis,Adam Smith,Junior Stanislas,Andrew Surman,Marcos Alonso,Cesar Azpilicueta,Tiemoue Bakayoko,Thibaut Courtois,Cesc Fabregas,Eden Hazard,David Luiz,Alvaro Morata,Pedro,Antonio Rudiger,Davide Zappacosta
g_1_2u9KvO07,Arsenal,Swansea,28/10/2017,Hector Bellerin,Petr Cech,Sead Kolasinac,Laurent Koscielny,Alexandre Lacazette,Per Mertesacker,Nacho Monreal,Mesut Ozil,Aaron Ramsey,Alexis Sanchez,Granit Xhaka,Tammy Abraham,Jordan Ayew,Thomas Carroll,Sam Clucas,Lukasz Fabianski,Leroy Fer,Federico Fernandez,Ki Sung-yueng,Alfie Mawson,Kyle Naughton,Mike van der Hoorn
g_1_Sz8l12fe,Crystal Palace,West Ham,28/10/2017,Yohan Cabaye,Scott Dann,Ruben Loftus-Cheek,Luka Milivojevic,Jeffery Schlupp,Julian Speroni,James Tomkins,Andros Townsend,Patrick van Aanholt,Joel Ward,Wilfried Zaha,Andre Ayew,Chicharito,Aaron Cresswell,Edimilson Fernandes,Jose Fonte,Joe Hart,Cheikhou Kouyate,Manuel Lanzini,Mark Noble,Angelo Ogbonna,Pablo Zabaleta
g_1_KrQeatP7,Liverpool,Huddersfield,28/10/2017,Roberto Firmino,Joe Gomez,Jordan Henderson,Ragnar Klavan,Joel Matip,Simon Mignolet,James Milner,Alberto Moreno,Mohamed Salah,Daniel Sturridge,Georginio Wijnaldum,Laurent Depoitre,Jonathan Hogg,Tom Ince,Mathias Jorgensen,Jonas Lossl,Chris Lowe,Aaron Mooy,Christopher Schindler,Tom Smith,Rajiv van La Parra,Daniel Williams
g_1_0v3rNqHE,Watford,Stoke,28/10/2017,Miguel Britos,Etienne Capoue,Andre Carrillo,Tom Cleverley,Troy Deeney,Abdoulaye Doucoure,Heurelho Gomes,Jose Holebas,Christian Kabasele,Kiko,Richarlison,Joe Allen,Jack Butland,Eric Maxim Choupo-Moting,Mame Diouf,Darren Fletcher,Erik Pieters,Xherdan Shaqiri,Ryan Shawcross,Ramadan Sobhi,Kevin Wimmer,Kurt Zouma
g_1_UD7nM3WK,West Brom,Manchester City,28/10/2017,Gareth Barry,Jonny Evans,Ben Foster,Kieran Gibbs,Ahmed Hegazy,Grzegorz Krychowiak,Jake Livermore,Gareth Mcauley,Allan Nyom,Jay Rodriguez,Salomon Rondon,Kevin De Bruyne,Fabian Delph,Ederson,Fernandinho,Jesus Gabriel,Nicolas Otamendi,Leroy Sane,Bernardo Silva,David Silva,John Stones,Kyle Walker
g_1_Mm4vOP18,Manchester United,Tottenham,28/10/2017,Eric Bailly,David de Gea,Ander Herrera,Phil Jones,Romelu Lukaku,Nemanja Matic,Henrikh Mkhitaryan,Marcus Rashford,Chris Smalling,Luis Valencia,Ashley Young,Toby Alderweireld,Dele Alli,Serge Aurier,Ben Davies,Eric Dier,Christian Eriksen,Hugo Lloris,Moussa Sissoko,Son Heung-min,Jan Vertonghen,Harry Winks
